Brand,Metric,Customer,Non-customer
BrandA,Aware-Consideration,39,8
BrandA,Unaware-Consideration,746,790
BrandA,Aware-Favorability,35,7
BrandA,Unaware-Favorability,707,710
BrandB,Aware-Consideration,43,11
BrandB,Unaware-Consideration,1034,1148
BrandB,Aware-Favorability,42,8
BrandB,Unaware-Favorability,1011,1046
BrandC,Aware-Consideration,32,5
BrandC,Unaware-Consideration,1470,796
BrandC,Aware-Favorability,32,5
BrandC,Unaware-Favorability,1436,763
BrandD,Aware-Consideration,51,12
BrandD,Unaware-Consideration,1313,868
BrandD,Aware-Favorability,51,10
BrandD,Unaware-Favorability,1314,742
BrandE,Aware-Consideration,39,10
BrandE,Unaware-Consideration,741,1097
BrandE,Aware-Favorability,37,8
BrandE,Unaware-Favorability,725,1204
